date/yyyy-mm-dd,time_start/hh:mm:ss,time_end/hh:mm:ss,CH4 ground truth count,CO2 ground truth count,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,CH4 Flow (ls/min),CH4 Flow (ls/min) STD,CH4 Flow (ls/min) STUNC,CO2 Flow (ls/min),CO2 Flow (ls/min) STD,CO2 Flow (ls/min) STUNC,Total vol. flow (ls/min),Total vol. flow (ls/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC,SBG count,Flow SBG (ls/min),Flow SBG (ls/min) STD,Flow SBG (ls/min) STUNC,Pressure SBG (Pa),Pressure SBG (Pa) STD,Pressure SBG (Pa) STUNC,Temperature SBG (°C),SBG err,SBG rel-err
2024-08-08,11:43:00,11:48:00,4823,4824,1.0387022586564378,0.00019546580615599084,2.8145707112561363e-06,26.952652733775658,0.005681348761073614,8.180744314219296e-05,1.040159570667496,0.0001553673371681728,2.2369489491039633e-06,28.654618370854063,0.005736119639211911,8.258754402787189e-05,2.533149856516219,0.0002445543388600078,3.521411202308594e-06,2.5331702612305658,8.266735504391541e-05,1.1902286308127088e-06,5.066320117746785,3.7171199939403027e-06,0.4999979862391368,1.571868229726982e-06,0.5000020137608632,8.712463993074576e-07,6,5.534462485024815,0.983299694654186,0.40143041935621,962.1666666666666,239.19232150440507,97.64985634625607,26.721,-0.4681423672780305,-0.09240284000969011
2024-08-08,11:51:00,11:56:00,4825,4827,1.0789328670673577,0.00014164181897763297,2.039120245295911e-06,26.84476921720207,0.03033703808082583,0.00043674155683282755,1.0806526573648227,0.00010364098216408862,1.4917390910035574e-06,28.531905270147085,0.03178496014404293,0.00045749149190606626,3.546396286692,0.00018574967915248458,2.6741108950094963e-06,3.5464116740453235,7.82384945984259e-05,1.1261126474946013e-06,7.092807960737323,2.901551097888126e-06,0.4999989152847921,8.578576951273904e-07,0.500001084715208,5.178593784482897e-07,6,7.2705676707170985,2.4409345025793305,0.9965073378122716,1731.6666666666667,723.9059791621191,295.533378449504,26.311,-0.17775970997977542,-0.025061965721301815
2024-08-08,11:59:00,12:04:00,4823,4823,1.001450024424632,0.00020992173507638953,3.0227259632846388e-06,27.167085235123366,0.11718011332744942,0.0016873115630767093,1.0018165019697285,0.00016344971532021585,2.3535614261672905e-06,28.934988337756582,0.12640858118027518,0.0018201950368624189,1.205832182514405,7.134040635624954e-05,1.0272518872133021e-06,0.517018225912217,1.8527129374108727e-05,2.667776872360211e-07,1.722850408426622,1.0613278353978524e-06,0.69990532934059,1.0512999858620422e-06,0.3000946706594099,8.035805835406656e-07,6,4.29008651377717,3.0782424246650977,1.2566872075028628,845.0,915.5732630434334,373.78121943190246,26.311,-2.5672361053505477,-1.4901097000609898
2024-08-08,12:06:00,12:12:00,5794,5794,1.0119100914566792,0.00016347246771298817,2.147609780695048e-06,27.45802331722472,0.033968803826403396,0.00044626313138049705,1.012038988022092,9.947193186274063e-05,1.3068065635867324e-06,29.248985935795652,0.03344868629679746,0.00043943011840088137,2.1278571703027653,0.00018670373855097632,2.4528092137716613e-06,0.9120612313575727,3.3318531243278373e-05,4.3772021415917603e-07,3.039918401660338,2.491560158825532e-06,0.6999718048815309,1.4143957253454783e-06,0.3000281951184691,9.497865863403537e-07,7,3.892258942324148,0.7849619597667198,0.29668773345551847,563.0,180.0527700425628,68.05355034298881,26.311,-0.85234054066381,-0.2803827037588509
2024-08-08,12:14:00,12:21:00,6751,6751,1.0348673253295808,0.00011916894051514567,1.450370721869079e-06,27.42055159783736,0.03906362988908735,0.0004754321456257422,1.0350107931565695,7.693177874785328e-05,9.363144372590535e-07,29.227882037624056,0.04018889817210698,0.0004891274605700934,3.5463983383849174,0.00022009936656664034,2.678765757169868e-06,1.5199542220866724,2.3217907282646935e-05,2.825784369673249e-07,5.066352560471589,2.6936288821633824e-06,0.6999904361284343,9.237013661319976e-07,0.30000956387156585,5.632376843208502e-07,8,5.402122096953619,1.3216353975345607,0.4672686759264332,941.0,373.0105322143828,131.8791383913966,26.311,-0.33576953648202945,-0.06627441191158934
2024-08-08,12:22:00,12:27:00,4826,4825,1.067365103294654,9.452472709649258e-05,1.3606667535544582e-06,27.241936005387483,0.053807873746203265,0.0007745548401443758,1.06756071626943,6.660347236957866e-05,9.588445693235639e-07,29.057382861139896,0.054161984242193484,0.0007797329869866693,4.964948872241385,0.0002916381130182151,4.198079133813943e-06,2.127879021303,6.240670758069273e-05,8.984266213790116e-07,7.092827893544385,4.293138573091548e-06,0.6999956782766839,1.0398585933182684e-06,0.3000043217233161,7.379902627832117e-07,4,6.687266434194763,1.177685759569476,0.588842879784738,1330.0,413.42552735246846,206.71276367623423,26.311,0.40556145934962196,0.057179092096503306
2024-08-13,11:54:00,12:00:00,5775,5775,0.9983163928675325,0.0001238304200191477,1.6294886947835668e-06,25.858558384415584,0.04886465090073805,0.00064301159767516,0.9983740048207792,7.009599958269606e-05,9.223956347066825e-07,27.545804874805196,0.04319107672176752,0.0005683528427244872,1.7225666011850909,8.433464958617522e-05,1.1097625127812434e-06,0.0,0.0,0.0,1.7225666011850909,1.1097625127812434e-06,1.0,9.111062501204516e-07,0.0,0.0,7,3.619155690569912,2.802958074489111,1.0594185714912352,639.2857142857143,729.0463438140072,275.5536171389651,25.082,-1.8965890893848212,-1.1010251145470986
2024-08-13,12:03:00,12:09:00,5777,5776,1.005417306127748,5.452476105135496e-05,7.173689700383298e-07,25.505693572096245,0.08767441269389042,0.0011535108438841784,1.0053615360976453,4.9097411969494815e-05,6.460185785459844e-07,27.063210030817174,0.10541200179046056,0.0013870000235586917,3.0397751243905486,0.00011898949188626347,1.5655156958768885e-06,0.0,0.0,0.0,3.0397751243905486,1.5655156958768885e-06,1.0,7.28334642734776e-07,0.0,0.0,7,2.9052164812596266,0.5160618047605025,0.19505302807649402,352.2857142857143,80.92530359476423,30.586889726306783,25.082,0.13455864313092203,0.04426598601036318
2024-08-13,12:11:00,12:15:00,3849,3850,1.0207900630813198,2.598583805822378e-05,4.1885410110444337e-07,25.079878611327622,0.06716923011476401,0.0010826707777736398,1.0208602877402597,2.7862865016107285e-05,4.4905072947037297e-07,26.655783200259744,0.07199280227537434,0.0011602690663607058,5.066260927094388,0.00023631759262921496,3.8090975790003696e-06,0.0,0.0,0.0,5.066260927094388,3.8090975790003696e-06,1.0,1.0632846460425673e-06,0.0,0.0,5,4.8651086359746705,0.1785534470930442,0.0798515290633918,736.6,34.43544685349676,15.399999999999997,25.082,0.20115229111971722,0.03970428961602704
2024-08-13,12:18:00,12:23:00,4812,4812,1.0424829658354116,3.854881456562905e-05,5.557100077570806e-07,24.669457296134663,0.07190973788756723,0.0010366326811756144,1.0422365360141312,3.99833786105099e-05,5.76390321937729e-07,26.259148120947632,0.07681835326323774,0.001107394044896576,7.092768942173908,0.00035252232033912,5.081873037539921e-06,0.0,0.0,0.0,7.092768942173908,5.081873037539921e-06,1.0,1.0132648942239994e-06,0.0,0.0,6,6.011138764333389,0.9266382770967914,0.3782984925031445,998.5,216.04513417339442,88.20005668932419,25.082,1.0816301778405188,0.15249759109014527
