,CH4 ground truth count,CO2 ground truth count,CH4 Flow (ln/min),CH4 Flow (ln/min) STD,CH4 Flow (ln/min) STUNC,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Flow (ln/min),CO2 Flow (ln/min) STD,CO2 Flow (ln/min) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC
2024-08-13 10:37:00,965,964,2.100033581554406,0.00015921658326175582,5.125363162722256e-06,1.0855046127461128,3.231819325668254e-05,1.0403594513218473e-06,25.476517782383358,0.006248235950245188,0.0002011378319727825,4.900031915560171,0.00023650904466931144,7.6174434163733535e-06,1.0898798204356848,3.355796317473996e-05,1.0808292173761905e-06,27.107247487551756,0.005731382169154149,0.00018459539013481062,7.000065497114576,9.181219513302142e-06,0.300001990327096,2.770712421858374e-06,0.699998009672904,2.0339513449264262e-06
2024-08-13 10:38:00,965,965,2.10002079937824,0.00015343842845719043,4.939357778250853e-06,1.08557401564767,4.2996612499496014e-05,1.3841099294566655e-06,25.45493918031083,0.007075369420191609,0.00022776420047453846,4.90002562777202,0.00020912939158074882,6.73211331314853e-06,1.089925189222799,4.1922411636550986e-05,1.3495301801647752e-06,27.08641270051798,0.006968941528335915,0.00022433816541444314,7.00004642715026,8.349766758577086e-06,0.30000098159822697,2.637225367852315e-06,0.699999018401773,1.8194485762349052e-06
2024-08-13 10:39:00,969,969,2.1000340396284822,0.0001300790601072162,4.178741456879513e-06,1.0856655942208475,5.045186139090188e-05,1.6207472947385245e-06,25.436101178534447,0.005397729019340978,0.00017340003846530295,4.900033479153766,0.00021064333452317007,6.766838827569906e-06,1.089995544272446,4.923542649160274e-05,1.5816697757350306e-06,27.068017008255847,0.006381586707950369,0.00020500610102197454,7.000067518782249,7.95311183636639e-06,0.3000019691229793,2.2913562896250903e-06,0.6999980308770207,1.7882763914506697e-06
2024-08-13 10:40:00,665,665,1.9939963393383462,0.3473237508786934,0.013468637361202726,1.0761116607518817,0.023624907782716874,0.0009161346288938437,25.421168511278278,0.004824622116135305,0.0001870908209492425,4.237249428015033,1.4973777604925365,0.05806581898813944,1.0801949409022555,0.024235023978796524,0.0009397939201815946,27.053022413533903,0.004349554725042789,0.00016866849769444004,6.2312457673533785,0.059607411679513146,0.319999629895077,0.01171028620962061,0.6800003701049231,0.016712166439891256
2024-08-13 11:22:00,713,713,1.190058741093969,3.480833770120041e-05,1.303582491479115e-06,0.997858872570226,2.056186175729598e-05,7.70047774447461e-07,26.17541333848309,0.009427387405188888,0.00035305843293318616,0.5102427847685832,1.4268232165856364e-05,5.343494939469072e-07,0.9987724318539316,1.2915486629247683e-05,4.836887754694264e-07,28.01021402528092,0.007647685844839347,0.00028640808570762143,1.7003015258625522,1.40884942196539e-06,0.6999104117666775,1.3734790707699751e-06,0.3000895882333225,1.3353955709974857e-06
2024-08-13 11:23:00,945,946,1.190057678518518,2.506524185994871e-05,8.153723786532191e-07,0.9979186807195758,1.7959039244441e-05,5.842075902911847e-07,26.203104211640152,0.009481082088983132,0.00030841962340898897,0.5102432044186047,1.525343201663091e-05,4.95931852166845e-07,0.9988137008245239,3.5703505549537346e-05,1.1608210936873598e-06,28.039258107822306,0.009107321336887969,0.0002961045575813357,1.7003008829371227,9.543482162524568e-07,0.6999100514861795,8.85704795309539e-07,0.30008994851382054,1.1223760233905034e-06
2024-08-13 11:24:00,946,941,1.190058662156448,3.119892423191209e-05,1.014364522231811e-06,0.9980126622198736,4.22501964797816e-05,1.3736723756191903e-06,26.232799965116214,0.009161537838599583,0.00029786728809880425,0.5102441131774713,1.421051554005841e-05,4.6324956712246533e-07,0.9988546403188098,2.7616858852464866e-05,9.002838688450559e-07,28.069262168969086,0.008584934873675358,0.0002798608785722013,1.7003027753339193,1.1151392493324417e-06,0.69990985101035,1.075482321103216e-06,0.30009014898965003,1.1200064783763658e-06
2024-08-13 11:25:00,931,931,1.1900584513426424,2.7988938018816467e-05,9.173003936920639e-07,0.9980998815467237,1.9439205301821565e-05,6.37094221453987e-07,26.260236598281335,0.007050261339452365,0.00023106298273853059,0.5102434532116005,1.593693118478308e-05,5.223118233430931e-07,0.9989334557357671,2.2774992019192296e-05,7.464202154255983e-07,28.096909317937616,0.00826019723890947,0.0002707170302114292,1.700301904554243,1.055580244733484e-06,0.699910085470752,9.897239887466765e-07,0.3000899145292481,1.1971968903201087e-06
2024-08-13 11:26:00,946,946,1.190055615750528,3.54897170488685e-05,1.1538702299739951e-06,0.9981885543551794,3.421854966570106e-05,1.1125410134369582e-06,26.282821504228167,0.006286390104378556,0.00020438817208537867,0.5102396923995777,1.557038311412398e-05,5.062368212160839e-07,0.9990118674630015,2.864492730720667e-05,9.313269196833095e-07,28.1208219429174,0.008558715514622147,0.0002782678437683942,1.7002953081501055,1.2600365973951732e-06,0.6999111331109239,1.2203668625245913e-06,0.3000888668890761,1.2383678950938061e-06
2024-08-13 11:27:00,938,937,1.190056291151386,4.0607299086749256e-05,1.3258753149806184e-06,0.998279193976546,2.650253636535194e-05,8.653384869584363e-07,26.304661670575587,0.00812389442922099,0.0002652545558915907,0.5102423827107792,1.6356995566687382e-05,5.343597531166994e-07,0.9990601246744931,1.7031718973803284e-05,5.564020060340259e-07,28.142481747064974,0.006443002837758594,0.00021048372799749605,1.700298673862165,1.4295054027970283e-06,0.6999101448736753,1.3957513417259522e-06,0.30008985512632474,1.3429844383052393e-06
