,Air ground truth count,Air Flow (ln/min),Air Flow (ln/min) STD,Air Flow (ln/min) STUNC,Air Pressure outlet (bar(a)),Air Pressure outlet (bar(a)) STD,Air Pressure outlet (bar(a)) STUNC,Air Temperature (°C),Air Temperature (°C) STD,Air Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,Air Vol. fraction,Air Vol. fraction COMB-UNC
2024-08-15 15:12:33,32,4.99995963125,6.243854278404879e-05,1.1037679252501818e-05,1.2554970875,5.737851949988815e-05,1.0143185058203864e-05,24.279688375,0.0027947868821552434,0.0004940531890857952,4.99995963125,1.1037679252501818e-05,1,3.1219523450651853e-06
2024-08-15 15:12:34,32,4.99999719375,7.177841336356235e-05,1.2688750708046509e-05,1.25569838125,5.956963677073519e-05,1.053052352835159e-05,24.280469375,0.002675817703681247,0.00047302221087300637,4.99999719375,1.2688750708046509e-05,1,3.588922682460973e-06
2024-08-15 15:12:35,32,4.9999886374999996,5.647323702419593e-05,9.983152213841037e-06,1.25586810625,5.12910449461499e-05,9.067061423891646e-06,24.280274125,0.002787866708315457,0.0004928298636235196,4.9999886374999996,9.983152213841037e-06,1,2.8236682679959358e-06
2024-08-15 15:12:36,32,6.625917975000001,0.7414581638814931,0.13107252391168256,1.2766934249999997,0.018005594413163212,0.0031829694772105804,24.282325125000003,0.0028933861103102245,0.0005114832347978319,6.625917975000001,0.13107252391168256,1,0.027975676980874976
2024-08-15 15:12:37,32,6.999864275000001,0.00045290572308154817,8.006317700728984e-05,1.32682734375,0.010376881987762933,0.0018343909052799276,24.282227374999998,0.0030121823511648975,0.0005324836416697843,6.999864275000001,8.006317700728984e-05,1,1.6175518027510187e-05
2024-08-15 15:12:38,32,6.999710975000001,0.00019171634428669242,3.389098177735375e-05,1.35307775625,0.005695612198990655,0.0010068515022287788,24.282813374999993,0.002282268662976118,0.00040345191201999206,6.999710975000001,3.389098177735375e-05,1,6.84729501587358e-06
2024-08-15 15:12:39,32,6.999796331250001,8.031599856195335e-05,1.4197996805231552e-05,1.36774698125,0.003386880857705464,0.000598721605388611,24.28310625,0.002865053612064405,0.0005064747093884382,6.999796331250001,1.4197996805231552e-05,1,2.868511980962551e-06
2024-08-15 15:12:40,33,6.999972694117647,8.519805947456178e-05,1.483107848530585e-05,1.3770473764705884,0.00218274946498942,0.0003799679104039118,24.28400811764706,0.0018757168590428702,0.0003265203940587669,6.999972694117647,1.483107848530585e-05,1,2.9963420223288717e-06
2024-08-15 15:12:41,33,7.0000088937500005,7.78385720042072e-05,1.3549956157431196e-05,1.3825935,0.001230696854631548,0.00021423682364631006,24.283789749999997,0.0024120709635782303,0.00041988765933849973,7.0000088937500005,1.3549956157431196e-05,1,2.7375010601071387e-06
2024-08-15 15:12:42,32,7.0000522,0.00011168654947367728,1.9743579125041007e-05,1.3858136749999999,0.0007254734964145752,0.00012824680722146515,24.284863875000003,0.0021886344563074676,0.00038689956639838567,7.0000522,1.9743579125041007e-05,1,3.9887755934761915e-06
2024-08-15 15:12:43,32,7.000092400000001,9.616461580725817e-05,1.6999662986877828e-05,1.3876854187499998,0.0004265733937925379,7.540823485611576e-05,24.285645,0.002434740123025595,0.00043040531285459176,7.000092400000001,1.6999662986877828e-05,1,3.4344052303958933e-06
2024-08-15 15:12:44,32,7.000066556249999,7.874776584135702e-05,1.3920769807428478e-05,1.3887623,0.00024165491373716877,4.271895705265055e-05,24.2859381875,0.001804161937252967,0.0003189337850475578,7.000066556249999,1.3920769807428478e-05,1,2.812393468282354e-06
2024-08-15 15:12:45,32,7.000073424999999,7.679407529223157e-05,1.357540284852181e-05,1.3893572499999998,0.00012426491057413144,2.1967140232627063e-05,24.28437575,0.002209473044265692,0.00039058334311228886,7.000073424999999,1.357540284852181e-05,1,2.7426167780601375e-06
2024-08-15 15:12:46,32,7.000022143749998,0.00010136768037694339,1.79194435469218e-05,1.3896939187500001,8.02547711457993e-05,1.4187173224942287e-05,24.2858404375,0.0028220123545389044,0.0004988660181216687,7.000022143749998,1.79194435469218e-05,1,3.6202628468629195e-06
2024-08-15 15:12:47,32,7.0000303,0.00011168252026776319,1.9742866855334843e-05,1.389882925,3.385901160204366e-05,5.985484177019765e-06,24.285840375000003,0.0020140110848756625,0.00035603022387511405,7.0000303,1.9742866855334843e-05,1,3.988644173003193e-06
2024-08-15 15:12:48,32,7.00006479375,4.962418051375299e-05,8.772398638025017e-06,1.389916275,6.299153382248222e-06,1.1135435180804733e-06,24.286231062500004,0.002074122190831695,0.00036665646653664746,7.00006479375,8.772398638025017e-06,1,1.7722757565779919e-06
2024-08-15 15:12:49,32,7.0000795875,0.00010455036983835924,1.8482068872066325e-05,1.3898815687500001,1.1830678692817021e-05,2.0913882824325285e-06,24.285645312499998,0.0019942177988297996,0.0003525312321788654,7.0000795875,1.8482068872066325e-05,1,3.7338993268395903e-06
2024-08-15 15:12:50,34,7.0000886705882355,6.11528593433401e-05,1.0487628854801679e-05,1.3897992529411762,2.9660434876404168e-05,5.086722616014839e-06,24.286397411764707,0.002122014934526901,0.00036392255892263704,7.0000886705882355,1.0487628854801679e-05,1,2.118794155553117e-06
2024-08-15 15:12:51,32,7.000046993750001,7.5672658811854e-05,1.3377162549069478e-05,1.3897170187499996,2.217398532063765e-05,3.919843846538461e-06,24.284961374999998,0.00247855653892936,0.0004381510340578024,7.000046993750001,1.3377162549069478e-05,1,2.702576814106334e-06
2024-08-15 15:12:52,32,3.08972470625,2.2750891624075096,0.4021827436355931,1.30076294375,0.09074247289676403,0.016041154481734585,24.286133250000002,0.0016005737096427266,0.00028294413096932,3.08972470625,0.4021827436355931,1,0.18408510293857097
