date/yyyy-mm-dd,time_start/hh:mm:ss,time_end/hh:mm:ss,CH4 ground truth count,CO2 ground truth count,CH4 Flow (ln/min),CH4 Flow (ln/min) STD,CH4 Flow (ln/min) STUNC,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Flow (ln/min),CO2 Flow (ln/min) STD,CO2 Flow (ln/min) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC,SBG count,Pressure SBG [Pa],Pressure SBG [Pa] STD,Pressure SBG [Pa] STUNC,Flow SBG [ln/min],Flow SBG [ln/min] STD,Flow SBG [ln/min] STUNC,SBG rel-err
2024-08-08,11:43:00,11:48:00,4823,4824,2.5000245314741862,0.0002413563669972924,3.475362647232742e-06,1.0387022586564378,0.00019546580615599084,2.8145707112561363e-06,26.952652733775658,0.005681348761073614,8.180744314219296e-05,2.5000446693615257,8.158633609070973e-05,1.174664328460552e-06,1.040159570667496,0.0001553673371681728,2.2369489491039633e-06,28.654618370854063,0.005736119639211911,8.258754402787189e-05,5.000069200835712,3.668512207194935e-06,0.49999798623913677,1.5718682297269724e-06,0.5000020137608631,8.712463993074401e-07,6,962.1666666666666,239.19232150440507,97.64985634625607,6.490532797362138,1.1531632809975676,0.4707769380929563,-0.29808859370932494
2024-08-08,11:51:00,11:56:00,4825,4827,3.5000210083316063,0.00018332068014062289,2.639142260063675e-06,1.0789328670673577,0.00014164181897763297,2.039120245295911e-06,26.84476921720207,0.03033703808082583,0.00043674155683282755,3.5000361944686134,7.721539067202815e-05,1.1113867727556838e-06,1.0806526573648227,0.00010364098216408862,1.4917390910035574e-06,28.531905270147085,0.03178496014404293,0.00045749149190606626,7.000057202800219,2.8636082880712397e-06,0.49999891528479223,8.578576951273999e-07,0.5000010847152079,5.178593784483127e-07,6,1731.6666666666667,723.9059791621191,295.533378449504,8.526547618656151,2.8626023734142145,1.16865252522415,-0.21806827739140372
2024-08-08,11:59:00,12:04:00,4823,4823,1.190063836678416,7.040750688995863e-05,1.013818788268756e-06,1.001450024424632,0.00020992173507638953,3.0227259632846388e-06,27.167085235123366,0.11718011332744942,0.0016873115630767093,0.5102573164690026,1.8284855044765426e-05,2.6328910657391444e-07,1.0018165019697285,0.00016344971532021585,2.3535614261672905e-06,28.934988337756582,0.12640858118027518,0.0018201950368624189,1.7003211531474185,1.047449134367497e-06,0.6999053293405901,1.051299985862057e-06,0.3000946706594099,8.03580583540669e-07,6,845.0,915.5732630434334,373.78121943190246,5.031192694238102,3.6100043083824014,1.4737780874642956,-1.9589661252669808
2024-08-08,12:06:00,12:12:00,5794,5794,2.100031749620297,0.00018426226355882362,2.420734481886685e-06,1.0119100914566792,0.00016347246771298817,2.147609780695048e-06,27.45802331722472,0.033968803826403396,0.00044626313138049705,0.9001344498964445,3.2882833696797634e-05,4.3199626366563047e-07,1.012038988022092,9.947193186274063e-05,1.3068065635867324e-06,29.248985935795652,0.03344868629679746,0.00043943011840088137,3.0001661995167415,2.4589786911675876e-06,0.699971804881531,1.4143957253454914e-06,0.300028195118469,9.497865863403744e-07,7,563.0,180.0527700425628,68.05355034298881,4.564640990762389,0.9205629920399956,0.3479401061581944,-0.5214627081318526
2024-08-08,12:14:00,12:21:00,6751,6751,3.5000230331950823,0.00021722118585407443,2.6437362518330866e-06,1.0348673253295808,0.00011916894051514567,1.450370721869079e-06,27.42055159783736,0.03906362988908735,0.0004754321456257422,1.5000781861205748,2.291429290170035e-05,2.7888323411530855e-07,1.0350107931565695,7.693177874785328e-05,9.363144372590535e-07,29.227882037624056,0.04018889817210698,0.0004891274605700934,5.000101219315657,2.6584050157052954e-06,0.6999904361284341,9.237013661320003e-07,0.3000095638715658,5.632376843208541e-07,8,941.0,373.0105322143828,131.8791383913966,6.335330800507716,1.5499459824804203,0.5479886573423755,-0.2670405103068706
2024-08-08,12:22:00,12:27:00,4826,4825,4.900023560070451,0.00028782443919882797,4.143181972675948e-06,1.067365103294654,9.452472709649258e-05,1.3606667535544582e-06,27.241936005387483,0.053807873746203265,0.0007745548401443758,2.100053314880829,6.159063171052699e-05,8.866781360759867e-07,1.06756071626943,6.660347236957866e-05,9.588445693235639e-07,29.057382861139896,0.054161984242193484,0.0007797329869866693,7.00007687495128,4.236998345019991e-06,0.699995678276684,1.0398585933182587e-06,0.3000043217233161,7.37990262783202e-07,4,1330.0,413.42552735246846,206.71276367623423,7.842481945316763,1.3811292547658771,0.6905646273829386,-0.12034225986573122
2024-08-13,11:54:00,12:00:00,5775,5775,1.7000410571774895,8.323182786693782e-05,1.0952504443930294e-06,0.9983163928675325,0.0001238304200191477,1.6294886947835668e-06,25.858558384415584,0.04886465090073805,0.00064301159767516,0.0,0.0,0.0,0.9983740048207792,7.009599958269606e-05,9.223956347066825e-07,27.545804874805196,0.04319107672176752,0.0005683528427244872,1.7000410571774895,1.0952504443930294e-06,1.0,9.111062501204461e-07,0.0,0.0,7,639.2857142857143,729.0463438140072,275.5536171389651,4.24435955107906,3.287164988710016,1.2424315826521635,-1.4966217922558889
2024-08-13,12:03:00,12:09:00,5777,5776,3.0000247958455946,0.00011743349803726932,1.5450438646700064e-06,1.005417306127748,5.452476105135496e-05,7.173689700383298e-07,25.505693572096245,0.08767441269389042,0.0011535108438841784,0.0,0.0,0.0,1.0053615360976453,4.9097411969494815e-05,6.460185785459844e-07,27.063210030817174,0.10541200179046056,0.0013870000235586917,3.0000247958455946,1.5450438646700064e-06,1.0,7.283346427347738e-07,0.0,0.0,7,352.2857142857143,80.92530359476423,30.586889726306783,3.4070883859226453,0.6052107279301432,0.22874815384164734,-0.13568674186985002
2024-08-13,12:11:00,12:15:00,3849,3850,5.00001078420369,0.00023322733050008986,3.759287025907118e-06,1.0207900630813198,2.598583805822378e-05,4.1885410110444337e-07,25.079878611327622,0.06716923011476401,0.0010826707777736398,0.0,0.0,0.0,1.0208602877402597,2.7862865016107285e-05,4.4905072947037297e-07,26.655783200259744,0.07199280227537434,0.0011602690663607058,5.00001078420369,3.759287025907118e-06,1.0,1.063284646042572e-06,0.0,0.0,5,736.6,34.43544685349676,15.399999999999997,5.705549048342999,0.2093982943375708,0.09364576410226351,-0.14110734848178422
2024-08-13,12:18:00,12:23:00,4812,4812,7.000018694472152,0.00034791247997939604,5.0154187392449685e-06,1.0424829658354116,3.854881456562905e-05,5.557100077570806e-07,24.669457296134663,0.07190973788756723,0.0010366326811756144,0.0,0.0,0.0,1.0422365360141312,3.99833786105099e-05,5.76390321937729e-07,26.259148120947632,0.07681835326323774,0.001107394044896576,7.000018694472152,5.0154187392449685e-06,1.0,1.013264894224008e-06,0.0,0.0,6,998.5,216.04513417339442,88.20005668932419,7.0495542078330375,1.0867136862995481,0.4436490046554733,-0.007076483009967335
