TimeStamp,123M04971901FD: Flow (ln/min),123M04971901FD: Pressure outlet (bar(a)),123M04971901FD: Temperature (°C),123M05180215PI: Flow (ln/min),123M05180215PI: Pressure outlet (bar(a)),123M05180215PI: Temperature (°C)
2024-08-15 14:59:54.989,1.6997883,0.9965295,23.642189,,,
2024-08-15 14:59:55.044,1.700414,0.9966855,23.643751,,,
2024-08-15 14:59:55.051,,,,0,0.9988168,25.296875
2024-08-15 14:59:55.112,,,,0,0.99897647,25.29375
2024-08-15 14:59:55.114,1.7003803,0.9968919,23.645313,,,
2024-08-15 14:59:55.174,,,,0,0.9991623,25.300001
2024-08-15 14:59:55.176,1.7002903,0.99705607,23.639063,,,
2024-08-15 14:59:55.234,,,,0,0.9993355,25.300001
2024-08-15 14:59:55.240,1.6997969,0.9972188,23.6375,,,
2024-08-15 14:59:55.294,1.6998279,0.9973568,23.643751,,,
2024-08-15 14:59:55.301,,,,0,0.99950856,25.296875
2024-08-15 14:59:55.360,,,,0,0.9996554,25.296875
2024-08-15 14:59:55.362,1.7001468,0.9975373,23.643751,,,
2024-08-15 14:59:55.416,1.7000798,0.9976738,23.642189,,,
2024-08-15 14:59:55.427,,,,0,0.9998163,25.295313
2024-08-15 14:59:55.486,,,,0,0.99996585,25.301563
2024-08-15 14:59:55.489,1.6999872,0.9978446,23.640625,,,
2024-08-15 14:59:55.545,1.6998237,0.99797106,23.635939,,,
2024-08-15 14:59:55.554,,,,0,1.0001259,25.296875
2024-08-15 14:59:55.613,,,,0,1.0002549,25.295313
2024-08-15 14:59:55.615,1.7001797,0.99813724,23.642189,,,
2024-08-15 14:59:55.675,,,,0,1.0003943,25.298439
2024-08-15 14:59:55.678,1.699858,0.9982808,23.6375,,,
2024-08-15 14:59:55.734,,,,0,1.0005246,25.306252
2024-08-15 14:59:55.738,1.6999357,0.99840516,23.646875,,,
2024-08-15 14:59:55.798,,,,0,1.0006567,25.295313
2024-08-15 14:59:55.801,1.7001085,0.99853444,23.646875,,,
2024-08-15 14:59:55.861,,,,0,1.0007862,25.298439
2024-08-15 14:59:55.863,1.7001292,0.9986559,23.639063,,,
2024-08-15 14:59:55.922,,,,0,1.0009079,25.29375
2024-08-15 14:59:55.924,1.7001415,0.9987896,23.642189,,,
2024-08-15 14:59:55.984,,,,0,1.0010283,25.303125
2024-08-15 14:59:55.988,1.7001233,0.99890256,23.642189,,,
2024-08-15 14:59:56.050,,,,0,1.001149,25.295313
2024-08-15 14:59:56.052,1.7000965,0.99902123,23.639063,,,
2024-08-15 14:59:56.108,1.7000749,0.999126,23.646875,,,
2024-08-15 14:59:56.116,,,,0,1.0012774,25.296875
2024-08-15 14:59:56.170,1.700128,0.9992406,23.646875,,,
2024-08-15 14:59:56.179,,,,0,1.0013878,25.296875
2024-08-15 14:59:56.234,,,,0,1.0014828,25.298439
2024-08-15 14:59:56.240,1.7000655,0.9993654,23.643751,,,
2024-08-15 14:59:56.292,1.7000991,0.99945873,23.639063,,,
2024-08-15 14:59:56.301,,,,0,1.0015904,25.298439
2024-08-15 14:59:56.354,1.7000618,0.99955964,23.643751,,,
2024-08-15 14:59:56.363,,,,0,1.0016866,25.295313
2024-08-15 14:59:56.426,,,,0,1.0017892,25.29375
2024-08-15 14:59:56.427,1.7000797,0.99968433,23.6375,,,
2024-08-15 14:59:56.483,,,,0,1.0018734,25.295313
2024-08-15 14:59:56.488,1.7000829,0.9997774,23.6375,,,
2024-08-15 14:59:56.543,1.7001022,0.99985474,23.640625,,,
2024-08-15 14:59:56.551,,,,0,1.0019681,25.296875
2024-08-15 14:59:56.607,1.7000952,0.9999456,23.639063,,,
2024-08-15 14:59:56.616,,,,0,1.0020611,25.301563
2024-08-15 14:59:56.673,,,,0,1.0021397,25.301563
2024-08-15 14:59:56.675,1.7001535,1.000039,23.639063,,,
2024-08-15 14:59:56.734,,,,0,1.0022246,25.296875
2024-08-15 14:59:56.739,1.7001418,1.000119,23.645313,,,
2024-08-15 14:59:56.794,1.7001098,1.000189,23.639063,,,
2024-08-15 14:59:56.801,,,,0,1.0023167,25.29375
2024-08-15 14:59:56.855,1.7001244,1.0002612,23.645313,,,
2024-08-15 14:59:56.864,,,,0,1.0023952,25.296875
2024-08-15 14:59:56.917,1.7001321,1.0003351,23.6375,,,
2024-08-15 14:59:56.926,,,,0,1.0024723,25.298439
2024-08-15 14:59:56.985,,,,0,1.0025414,25.296875
2024-08-15 14:59:56.990,1.700159,1.0004127,23.639063,,,
2024-08-15 14:59:57.043,1.7001512,1.000472,23.643751,,,
2024-08-15 14:59:57.052,,,,0,1.0026248,25.295313
2024-08-15 14:59:57.112,,,,0,1.0026864,25.295313
2024-08-15 14:59:57.114,1.7001646,1.0005604,23.643751,,,
2024-08-15 14:59:57.167,1.7001575,1.0006171,23.6375,,,
2024-08-15 14:59:57.176,,,,0,1.0027602,25.296875
2024-08-15 14:59:57.233,,,,0,1.0028232,25.295313
2024-08-15 14:59:57.238,1.7001646,1.0006894,23.635939,,,
2024-08-15 14:59:57.292,1.7001421,1.0007416,23.640625,,,
2024-08-15 14:59:57.300,,,,0,1.0028934,25.295313
2024-08-15 14:59:57.356,1.7001746,1.000803,23.639063,,,
2024-08-15 14:59:57.364,,,,0,1.0029578,25.298439
2024-08-15 14:59:57.425,,,,0,1.0030156,25.295313
2024-08-15 14:59:57.428,1.700212,1.0008839,23.643751,,,
2024-08-15 14:59:57.469,,,,0,1.0030602,25.29375
2024-08-15 14:59:57.471,1.7001543,1.0009252,23.639063,,,
2024-08-15 14:59:57.523,1.7001683,1.0009735,23.642189,,,
2024-08-15 14:59:57.532,,,,0,1.0031179,25.295313
2024-08-15 14:59:57.592,,,,0,1.003172,25.298439
2024-08-15 14:59:57.593,1.7001605,1.00104,23.640625,,,
2024-08-15 14:59:57.656,,,,0,1.0032332,25.295313
2024-08-15 14:59:57.658,1.7001544,1.0010968,23.642189,,,
2024-08-15 14:59:57.716,,,,0,1.0032833,25.298439
2024-08-15 14:59:57.721,1.700162,1.001156,23.651564,,,
2024-08-15 14:59:57.772,1.7001411,1.0011967,23.648438,,,
2024-08-15 14:59:57.782,,,,0,1.0033348,25.300001
2024-08-15 14:59:57.842,,,,0,1.0033867,25.295313
2024-08-15 14:59:57.844,1.7001604,1.001256,23.645313,,,
2024-08-15 14:59:57.902,,,,0,1.0034391,25.296875
2024-08-15 14:59:57.907,1.7001563,1.0013026,23.642189,,,
2024-08-15 14:59:57.961,1.7001656,1.0013461,23.640625,,,
2024-08-15 14:59:57.970,,,,0,1.0034893,25.295313
2024-08-15 14:59:58.024,1.7001929,1.0013944,23.645313,,,
2024-08-15 14:59:58.033,,,,0,1.0035456,25.296875
2024-08-15 14:59:58.085,1.7001809,1.0014362,23.642189,,,
2024-08-15 14:59:58.095,,,,0,1.0035933,25.298439
2024-08-15 14:59:58.148,1.7001929,1.0014774,23.645313,,,
2024-08-15 14:59:58.158,,,,0,1.0036467,25.301563
2024-08-15 14:59:58.209,1.700167,1.0015209,23.648438,,,
2024-08-15 14:59:58.216,,,,0,1.0036902,25.296875
2024-08-15 14:59:58.277,,,,0,1.003735,25.298439
2024-08-15 14:59:58.280,1.7001565,1.001567,23.646875,,,
2024-08-15 14:59:58.334,1.7001647,1.0015986,23.640625,,,
2024-08-15 14:59:58.345,,,,0,1.0037699,25.303125
2024-08-15 14:59:58.406,,,,0,1.0038109,25.29375
2024-08-15 14:59:58.409,1.7001987,1.0016497,23.639063,,,
2024-08-15 14:59:58.458,1.7001882,1.0016781,23.640625,,,
2024-08-15 14:59:58.466,,,,0,1.0038496,25.296875
2024-08-15 14:59:58.521,1.7001988,1.001718,23.6375,,,
2024-08-15 14:59:58.530,,,,0,1.0038886,25.29375
2024-08-15 14:59:58.588,,,,0,1.003917,25.296875
2024-08-15 14:59:58.590,1.7001872,1.001765,23.643751,,,
2024-08-15 14:59:58.646,1.7002068,1.0018013,23.640625,,,
2024-08-15 14:59:58.653,,,,0,1.0039546,25.300001
2024-08-15 14:59:58.714,,,,0,1.0039859,25.300001
2024-08-15 14:59:58.716,1.7002038,1.0018356,23.640625,,,
2024-08-15 14:59:58.775,,,,0,1.0040154,25.298439
2024-08-15 14:59:58.778,1.7002174,1.0018631,23.640625,,,
2024-08-15 14:59:58.832,1.7002119,1.0018902,23.645313,,,
2024-08-15 14:59:58.839,,,,0,1.0040548,25.295313
2024-08-15 14:59:58.898,,,,0,1.0040848,25.298439
2024-08-15 14:59:58.901,1.7001916,1.0019277,23.643751,,,
2024-08-15 14:59:58.964,,,,0,1.0041192,25.301563
2024-08-15 14:59:58.966,1.7002026,1.0019581,23.646875,,,
2024-08-15 14:59:59.024,,,,0,1.0041484,25.295313
2024-08-15 14:59:59.026,1.7002401,1.0019906,23.648438,,,
2024-08-15 14:59:59.082,1.7002304,1.0020112,23.646875,,,
2024-08-15 14:59:59.091,,,,0,1.0041846,25.303125
2024-08-15 14:59:59.149,,,,0,1.004213,25.29375
2024-08-15 14:59:59.151,1.7002196,1.0020524,23.646875,,,
2024-08-15 14:59:59.205,1.7002294,1.0020812,23.642189,,,
2024-08-15 14:59:59.212,,,,0,1.0042404,25.296875
2024-08-15 14:59:59.267,1.7002338,1.0021062,23.645313,,,
2024-08-15 14:59:59.277,,,,0,1.004269,25.298439
2024-08-15 14:59:59.332,1.7002132,1.0021377,23.648438,,,
2024-08-15 14:59:59.342,,,,0,1.004296,25.296875
2024-08-15 14:59:59.403,,,,0,1.0043147,25.295313
2024-08-15 14:59:59.404,1.7002251,1.0021703,23.643751,,,
2024-08-15 14:59:59.458,1.7002233,1.0021964,23.642189,,,
2024-08-15 14:59:59.466,,,,0,1.00434,25.300001
2024-08-15 14:59:59.521,1.7002304,1.0022207,23.645313,,,
2024-08-15 14:59:59.530,,,,0,1.0043637,25.292189
2024-08-15 14:59:59.583,1.7002453,1.0022391,23.639063,,,
2024-08-15 14:59:59.591,,,,0,1.0043862,25.298439
2024-08-15 14:59:59.650,,,,0,1.0044092,25.295313
2024-08-15 14:59:59.651,1.7002254,1.0022631,23.650002,,,
2024-08-15 14:59:59.710,1.7002084,1.0022876,23.639063,,,
2024-08-15 14:59:59.716,,,,0,1.0044358,25.298439
2024-08-15 14:59:59.777,,,,0,1.0044526,25.298439
2024-08-15 14:59:59.779,1.7002275,1.0023137,23.639063,,,
2024-08-15 14:59:59.841,,,,0,1.0044724,25.295313
2024-08-15 14:59:59.843,1.7002279,1.0023395,23.639063,,,
2024-08-15 14:59:59.896,1.700227,1.0023592,23.646875,,,
2024-08-15 14:59:59.904,,,,0,1.0044883,25.296875
2024-08-15 14:59:59.961,,,,0,1.0045073,25.296875
2024-08-15 14:59:59.964,1.7002269,1.002378,23.640625,,,
2024-08-15 15:00:00.024,,,,0,1.0045274,25.300001
2024-08-15 15:00:00.026,1.7002506,1.0023926,23.643751,,,
2024-08-15 15:00:00.082,1.7002454,1.0024031,23.640625,,,
2024-08-15 15:00:00.091,,,,0,1.0045482,25.290627
2024-08-15 15:00:00.149,,,,0,1.0045656,25.300001
2024-08-15 15:00:00.153,1.7002174,1.002426,23.643751,,,
2024-08-15 15:00:00.210,1.7002182,1.0024389,23.643751,,,
2024-08-15 15:00:00.217,,,,0,1.004587,25.292189
2024-08-15 15:00:00.272,,,,0,1.0045993,25.296875
2024-08-15 15:00:00.274,1.7002105,1.002451,23.642189,,,
2024-08-15 15:00:00.337,,,,0,1.004616,25.298439
2024-08-15 15:00:00.339,1.7002451,1.0024688,23.640625,,,
