UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1723537500,2024-08-13 10:25:00+0200,617.0,272.0,5205.0,25.492,4.197,0.018,9.202,-77.0
1723537440,2024-08-13 10:24:00+0200,617.0,271.0,,,,,,
1723537380,2024-08-13 10:23:00+0200,617.0,272.0,,,,,,
1723537320,2024-08-13 10:22:00+0200,617.0,272.0,,,,,,
1723537260,2024-08-13 10:21:00+0200,617.0,272.0,,,,,,
1723537200,2024-08-13 10:20:00+0200,316.0,175.0,5182.0,25.492,4.198,0.018,9.205,-77.0
1723537140,2024-08-13 10:19:00+0200,316.0,175.0,,,,,,
1723537080,2024-08-13 10:18:00+0200,531.0,245.0,,,,,,
1723537020,2024-08-13 10:17:00+0200,617.0,273.0,,,,,,
1723536960,2024-08-13 10:16:00+0200,617.0,273.0,,,,,,
1723536900,2024-08-13 10:15:00+0200,316.0,173.0,5161.0,25.492,4.198,0.023,9.205,-77.0
1723536840,2024-08-13 10:14:00+0200,316.0,174.0,,,,,,
1723536780,2024-08-13 10:13:00+0200,316.0,174.0,,,,,,
1723536720,2024-08-13 10:12:00+0200,316.0,175.0,,,,,,
1723536660,2024-08-13 10:11:00+0200,316.0,175.0,,,,,,
1723536600,2024-08-13 10:10:00+0200,2752.0,605.0,5146.0,25.492,4.197,0.018,9.205,-79.0
1723536540,2024-08-13 10:09:00+0200,2752.0,606.0,,,,,,
1723536480,2024-08-13 10:08:00+0200,2753.0,605.0,,,,,,
1723536420,2024-08-13 10:07:00+0200,2771.0,608.0,,,,,,
1723536360,2024-08-13 10:06:00+0200,425.0,195.0,,,,,,
1723536300,2024-08-13 10:05:00+0200,1551.0,459.0,5109.0,25.492,4.198,0.018,9.205,-79.0
1723536240,2024-08-13 10:04:00+0200,2169.0,534.0,,,,,,
1723536180,2024-08-13 10:03:00+0200,2753.0,605.0,,,,,,
1723536120,2024-08-13 10:02:00+0200,2753.0,605.0,,,,,,
1723536060,2024-08-13 10:01:00+0200,2753.0,605.0,,,,,,
1723536000,2024-08-13 10:00:00+0200,1551.0,460.0,5060.0,25.902,4.196,0.022,9.207,-79.0
1723535940,2024-08-13 09:59:00+0200,1551.0,459.0,,,,,,
1723535880,2024-08-13 09:58:00+0200,1551.0,459.0,,,,,,
1723535820,2024-08-13 09:57:00+0200,1551.0,459.0,,,,,,
1723535760,2024-08-13 09:56:00+0200,1551.0,459.0,,,,,,
1723535700,2024-08-13 09:55:00+0200,689.0,298.0,5021.0,25.492,4.194,0.018,9.199,-77.0
1723535640,2024-08-13 09:54:00+0200,690.0,297.0,,,,,,
1723535580,2024-08-13 09:53:00+0200,690.0,298.0,,,,,,
